Time,model,gene_symbol,logHR,HR,SE,z,pval,lower95,upper95,PH_chisq,PH_p,fit_ok,N,Events,padj,PH_FDR,PH_pass_nominal,entry_day
D3,median_center_sensitivity,ENO1,0.746367676775058,2.10932433699905,0.335015387756807,2.22786088057799,0.0258897935426436,1.09390031762637,4.06732595919786,0.0044259584051486,0.946957564308464,TRUE,147,18,0.200804014923186,0.990884897698504,TRUE,2
D3,median_center_sensitivity,ENO2,0.237465396862211,1.26803111817605,0.330241425788806,0.719066047801265,0.472100225581858,0.66378571239595,2.42232227454708,0.000434235444327352,0.983374632033804,TRUE,147,18,0.7491352883414,0.994149934550219,TRUE,2
D3,median_center_sensitivity,ENO3,0.251735945229512,1.28625635031346,0.219373937371382,1.14751983870966,0.251166838703156,0.836750726069677,1.97723807960453,0.417192669913783,0.518341181681063,TRUE,147,18,0.565526728631451,0.959647680856551,TRUE,2
D3,median_center_sensitivity,ENPP2,0.760245882695376,2.13880205026094,0.264365826174042,2.87573433260197,0.0040308881962697,1.27391952077847,3.59086593429782,0.142541922486272,0.705766960869003,TRUE,147,18,0.0779249676428799,0.974781042740008,TRUE,2
D3,median_center_sensitivity,ENSA,0.01720885022578,1.01735777554014,0.376590045931891,0.0456965084756712,0.963552146736906,0.48631725658162,2.12827496751242,3.08230925207602,0.0791480758026236,TRUE,147,18,0.994609634684472,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ENTPD5,-0.276430935685355,0.75848600163864,0.273830159372567,-1.00949777160685,0.312735969795495,0.443468641798462,1.29727552403406,1.53190250868798,0.215827136542627,TRUE,147,18,0.612548130231747,0.936177990455588,TRUE,2
D3,median_center_sensitivity,EOGT,-0.309164426015276,0.734060061531836,0.218521945430931,-1.41479806710304,0.15712771100877,0.478327531455444,1.12651716345187,0.0533785493952634,0.817285294324162,TRUE,147,18,0.463371293880506,0.987667076167726,TRUE,2
D3,median_center_sensitivity,EPB41,-0.280035464668475,0.755756938311181,0.24547589046613,-1.14078602235324,0.253958978673726,0.467124543208729,1.22273290519499,0.00611748841995295,0.937657527637649,TRUE,147,18,0.565569564575108,0.990884897698504,TRUE,2
D3,median_center_sensitivity,EPB41L2,-0.234666647651002,0.790834432209004,0.314306680391253,-0.746616799104893,0.455294905032342,0.427117374703032,1.46427922676333,0.0881229736114163,0.766577106871395,TRUE,147,18,0.73728983485461,0.978329588742556,TRUE,2
D3,median_center_sensitivity,EPB41L3,-0.808177314776225,0.445669641845687,0.460442307941741,-1.75521949403156,0.0792217707030487,0.180752306862394,1.09885972196235,0.0193855185794217,0.889266911086919,TRUE,147,18,0.346874984716739,0.990884897698504,TRUE,2
D3,median_center_sensitivity,EPB42,-0.341579157808562,0.710647212117384,0.233271100616335,-1.46430122250918,0.143111663302466,0.449876529097287,1.12257347833543,0.10824350035719,0.742152815869901,TRUE,147,18,0.442937456307553,0.977247430539914,TRUE,2
D3,median_center_sensitivity,EPHX1,0.454560249196273,1.57548041190046,0.191474526139147,2.37399855929628,0.0175966191476732,1.08250421430212,2.29295969058399,1.59991760260331,0.205914888034206,TRUE,147,18,0.161580329851264,0.936177990455588,TRUE,2
D3,median_center_sensitivity,EPHX2,0.577908786560747,1.7823073457879,0.303498505835468,1.90415694129987,0.0568897476710596,0.983205276348917,3.23088123229537,0.407962610688797,0.52300541922129,TRUE,147,18,0.292371050696758,0.962728208737305,TRUE,2
D3,median_center_sensitivity,EPN1,1.15054395116254,3.15991127970684,0.574752872190093,2.00180635336088,0.0453055623861914,1.02434053153208,9.74777331195141,0.00442345232834481,0.946972561207089,TRUE,147,18,0.256700266384718,0.990884897698504,TRUE,2
D3,median_center_sensitivity,EPRS1,0.935898524369238,2.54950321965383,0.433768595692651,2.15759862208276,0.0309590519307163,1.08950961355572,5.96595623035572,2.40243699538196,0.121146394255681,TRUE,147,18,0.214697455808687,0.936177990455588,TRUE,2
D3,median_center_sensitivity,EPS15,-0.686969435353672,0.503098433415042,0.761565021979878,-0.902049615629304,0.367030511887585,0.113085687596285,2.23819688489903,0.106098640513471,0.744630261561761,TRUE,147,18,0.662432805572609,0.977247430539914,TRUE,2
D3,median_center_sensitivity,EPS15L1,-0.446436724800605,0.639904248973219,0.83466563978323,-0.534868938556699,0.592740488387267,0.124636806633347,3.28536536609582,0.21624100547016,0.641919132270096,TRUE,147,18,0.824262027394271,0.971677904840114,TRUE,2
D3,median_center_sensitivity,EPS8L2,0.504235519908125,1.65571927209044,0.18355335797445,2.74707869947175,0.00601287043679119,1.15543575402698,2.37261682306196,1.04443705110864,0.306791771864524,TRUE,147,18,0.0933301393607269,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ERAP1,-0.774073129414316,0.461130991736236,0.580489378369014,-1.33348370919242,0.182373118084825,0.147812395920859,1.43859241449206,0.186654440358385,0.665715807848422,TRUE,147,18,0.491785548071468,0.972199940770097,TRUE,2
D3,median_center_sensitivity,ERBIN,-1.15266735614852,0.315793311746439,0.827459085052145,-1.3930203643554,0.163613632656202,0.0623833190955007,1.59859105269979,0.18148519272372,0.670099984043501,TRUE,147,18,0.470174236692587,0.973471820945215,TRUE,2
D3,median_center_sensitivity,ERC1,-0.619566330783504,0.538177778130091,0.380314290026778,-1.62909032616124,0.103293898820159,0.255388684330174,1.13409613911708,0.495657463648553,0.481414434860594,TRUE,147,18,0.39332193285929,0.948357885006311,TRUE,2
D3,median_center_sensitivity,ERFE,0.615613501021844,1.85079171393353,0.246242267948607,2.50003180262426,0.0124182158039628,1.14223574813271,2.99888177546955,1.58170082249514,0.208515873768437,TRUE,147,18,0.134791558096234,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ERGIC1,-0.753469151290756,0.470730680888981,0.550919924231631,-1.36765638371424,0.17141965852814,0.159892692415898,1.38585053877153,0.158570409912318,0.690476130281383,TRUE,147,18,0.479603737759238,0.974781042740008,TRUE,2
D3,median_center_sensitivity,ERI3,-0.145213774952399,0.864837392775442,0.230479407285057,-0.630050973590011,0.52866123448236,0.550490757408379,1.35868532918486,0.00036573941811142,0.984741934537981,TRUE,147,18,0.785792974153872,0.994632475996203,TRUE,2
D3,median_center_sensitivity,ERLEC1,-0.269611232619955,0.763676329078941,0.306711659538194,-0.879038094038875,0.379380621419492,0.418635343897101,1.39310152402907,0.561960668139402,0.453471336578735,TRUE,147,18,0.671866216975805,0.942498571164644,TRUE,2
D3,median_center_sensitivity,ERLIN1,-0.265673835452443,0.76668915354487,0.533100317840714,-0.498356175303996,0.618233020086562,0.269676750237837,2.17969201143568,0.34486688435984,0.557033345282113,TRUE,147,18,0.839696092826999,0.970975941204807,TRUE,2
D3,median_center_sensitivity,ERLIN2,-0.243261071724864,0.784066789379732,0.668003121847979,-0.364161579143375,0.715737355457455,0.211713119187493,2.90374414475378,0.898068321431535,0.343300193716339,TRUE,147,18,0.893833243664114,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ERMAP,-0.181250223932825,0.83422658911931,0.262853563964356,-0.689548283839907,0.490478299334707,0.498359416440974,1.39644998977573,0.211046926877494,0.64594806815011,TRUE,147,18,0.762949512363622,0.971677904840114,TRUE,2
D3,median_center_sensitivity,ERMP1,-0.120194550118311,0.886747903025031,0.26549789352586,-0.452713761763249,0.650754868714341,0.526996770048257,1.49208095421019,3.17072284490172,0.0749692595172455,TRUE,147,18,0.858004462833641,0.936177990455588,TRUE,2
D3,median_center_sensitivity,ERO1A,-0.886124597970962,0.412250296643444,0.40612921542557,-2.18187848673339,0.0291185019843164,0.185978680412883,0.913816071311554,0.190307312102534,0.662660967344615,TRUE,147,18,0.209468559230087,0.971953556926015,TRUE,2
