entry_name	entry	spec	variable	SMD_before	SMD_after
primary	4	PF_PLT_noD3	infectionSite_SD=Others/Unknown	0.00410438129815693	-0.0109384610354373
primary	4	PF_PLT_noD3	center=Centre 01	-0.0163475491914997	-0.0180301000924174
primary	4	PF_PLT_noD3	center=Centre 02	0.0298516749861506	0.000857898210306721
primary	4	PF_PLT_noD3	center=Centre 03	0.0366104035859039	0.0010517986711282
primary	4	PF_PLT_noD3	center=Centre 05	-0.0446298268303618	-0.0261486256700017
primary	4	PF_PLT_noD3	center=Centre 06	0.0210797338870439	0.0006059969987181
primary	4	PF_PLT_noD3	center=Centre 07	-0.290042679883213	-0.0282619160331877
primary	4	PF_PLT_noD3	center=Centre 08	0.0423316966822672	0.00121577764085921
primary	4	PF_PLT_noD3	center=Centre 09	-0.0278754371225123	0.0226927543294464
primary	4	PF_PLT_noD3	center=Centre 10	0.0942081572151159	0.00269214795458896
primary	4	PF_PLT_noD3	center=Centre 11	0.0210797338870439	0.0006059969987181
primary	4	PF_PLT_noD3	center=Centre 13	0.0298516749861506	0.000857898210306721
primary	4	PF_PLT_noD3	center=Centre 14	0.0210412454029532	-0.0043758869595484
primary	4	PF_PLT_noD3	center=Centre 15	0.129240344179966	0.00797426970141933
primary	4	PF_PLT_noD3	center=Centre 16	0.0181001102855676	-0.00560323748701955
primary	4	PF_PLT_noD3	center=Centre 17	0.0519875974378265	0.00149213098248935
primary	4	PF_PLT_noD3	center=Centre 19	-0.0328779133793129	-0.00377571359957461
primary	4	PF_PLT_noD3	center=Centre 20	-0.0163475491914997	-0.00523570210047596
primary	4	PF_PLT_noD3	center=Centre 21	0.0298516749861506	0.000857898210306721
primary	4	PF_PLT_noD3	center=Centre 22	-0.078116590263798	0.0130675879980563
primary	4	PF_PLT_noD3	center=Centre 23	0.0366104035859039	0.0010517986711282
primary	4	PF_PLT_noD3	center=Centre 24	-0.0202163590282927	0.00439814255224723
