Package	Version	Built
jpeg	0.1-10	4.4.0
jquerylib	0.1.4	4.4.2
jsonlite	2.0.0	4.4.3
kableExtra	1.4.0	4.4.3
KEGGREST	1.46.0	4.4.1
kernelshap	0.9.1	4.4.3
kernlab	0.9-33	4.4.1
klaR	1.7-3	4.4.3
km.ci	0.5-6	4.4.2
KMsurv	0.1-5	4.4.0
knitr	1.49	4.4.2
labeling	0.4.3	4.4.0
labelled	2.16.0	4.4.3
laeken	0.5.3	4.4.3
lambda.r	1.2.4	4.4.3
lars	1.3	4.4.0
later	1.3.2	4.4.2
lava	1.9.1	4.4.2
lazyeval	0.2.2	4.4.3
leidenbase	0.1.35	4.4.3
libcoin	1.0-10	4.4.3
lifecycle	1.0.5	4.4.3
limma	3.62.1	4.4.1
listenv	0.9.1	4.4.3
lme4	1.1-35.5	4.4.2
lmerTest	3.1-3	4.4.3
lmtest	0.9-40	4.4.3
locfit	1.5-9.12	4.4.3
logging	0.10-108	4.4.3
logistf	1.26.1	4.4.2
lpSolveAPI	5.5.2.0-17.15	4.4.3
lubridate	1.9.3	4.4.2
Maaslin2	1.20.0	4.4.2
magick	2.9.0	4.4.3
magrittr	2.0.3	4.4.2
MALDIquant	1.22.3	4.4.3
maps	3.4.3	4.4.3
maptree	1.4-9	4.4.3
margins	0.3.28	4.4.3
markdown	1.13	4.4.2
MAST	1.32.0	4.4.1
MatrixGenerics	1.18.1	4.4.2
MatrixModels	0.5-3	4.4.2
matrixStats	1.5.0	4.4.3
maxstat	0.7-25	4.4.2
mboost	2.9-11	4.4.3
mclust	6.1.2	4.4.3
memoise	2.0.1	4.4.2
MetaboAnalystR	4.2.0	4.4.2
metagenomeSeq	1.48.1	4.4.2
metapod	1.14.0	4.4.1
Metrics	0.1.4	4.4.3
mets	1.3.9	4.4.3
mice	3.18.0	4.4.3
microbenchmark	1.5.0	4.4.2
microbiome	1.28.0	4.4.1
miloR	2.2.0	4.4.1
mime	0.12	4.4.0
miniUI	0.1.1.1	4.4.2
minqa	1.2.8	4.4.2
missForest	1.6.1	4.4.3
mitml	0.4-5	4.4.3
mitools	2.4	4.4.3
mixtools	2.0.0.1	4.4.3
mnormt	2.1.2	4.4.3
ModelMetrics	1.2.2.2	4.4.3
modelr	0.1.11	4.4.2
moments	0.14.1	4.4.0
monocle	2.34.0	4.4.1
MRMix	0.1.0	4.4.2
MRPRESSO	1.0	4.4.2
MsCoreUtils	1.18.0	4.4.1
msigdbr	25.1.1	4.4.3
MSnbase	2.32.0	4.4.1
multcomp	1.4-26	4.4.2
MultiAssayExperiment	1.32.0	4.4.1
MultiDataSet	1.34.0	4.4.1
multtest	2.62.0	4.4.1
munsell	0.5.1	4.4.2
mvtnorm	1.3-2	4.4.2
mzID	1.44.0	4.4.1
mzR	2.40.0	4.4.1
naivebayes	1.0.0	4.4.3
naniar	1.1.0	4.4.3
ncdf4	1.24	4.4.3
network	1.19.0	4.4.3
nloptr	2.1.1	4.4.2
nnls	1.6	4.4.1
norm	1.0-11.1	4.4.0
numDeriv	2016.8-1.1	4.4.0
officer	0.7.0	4.4.3
openssl	2.2.2	4.4.2
openxlsx	4.2.8	4.4.3
operator.tools	1.6.3	4.4.3
optparse	1.7.5	4.4.3
ordinal	2023.12-4.1	4.4.3
org.Hs.eg.db	3.20.0	4.4.2
otel	0.2.0	4.4.3
pan	1.9	4.4.3
pander	0.6.6	4.4.3
parallelly	1.45.1	4.4.3
partykit	1.2-24	4.4.3
patchwork	1.3.2	4.4.3
pbapply	1.7-4	4.4.3
pbkrtest	0.5.3	4.4.2
pcaMethods	1.98.0	4.4.1
pcaPP	2.0-5	4.4.3
pdftools	3.8.0	4.4.3
pdp	0.8.2	4.4.3
pec	2025.06.24	4.4.3
permute	0.9-8	4.4.3
pheatmap	1.0.13	4.4.3
phyloseq	1.50.0	4.4.1
pillar	1.9.0	4.4.2
pixmap	0.4-14	4.4.3
pkgbuild	1.4.5	4.4.2
pkgconfig	2.0.3	4.4.2
pkgdown	2.1.1	4.4.2
pkgload	1.4.0	4.4.2
plogr	0.2.0	4.4.3
plotly	4.11.0	4.4.3
plotrix	3.8-14	4.4.3
pls	2.8-5	4.4.3
plsRglm	1.6.0	4.4.3
plyr	1.8.9	4.4.2
png	0.1-8	4.4.0
polspline	1.1.25	4.4.0
polyclip	1.10-7	4.4.1
polynom	1.4-1	4.4.2
pracma	2.4.6	4.4.3
praise	1.0.0	4.4.2
prediction	0.3.18	4.4.3
preprocessCore	1.71.2	4.4.2
prettyunits	1.2.0	4.4.2
pROC	1.19.0.1	4.4.3
processx	3.9.0	4.4.3
prodlim	2025.04.28	4.4.3
profvis	0.4.0	4.4.2
progress	1.2.3	4.4.2
progressr	0.17.0	4.4.3
promises	1.3.0	4.4.2
promor	0.2.2	4.4.3
ProtGenerics	1.38.0	4.4.1
proxy	0.4-27	4.4.3
ps	1.9.3	4.4.3
pscl	1.5.9	4.4.3
PSMatch	1.10.0	4.4.1
psych	2.6.3	4.4.3
Publish	2025.07.24	4.4.3
purrr	1.0.2	4.4.2
QFeatures	1.16.0	4.4.1
qpdf	1.4.1	4.4.3
qqman	0.1.9	4.4.3
qs	0.27.3	4.4.3
quadprog	1.5-8	4.4.0
quantreg	5.99	4.4.2
questionr	0.8.1	4.4.3
qvalue	2.38.0	4.4.1
R.cache	0.17.0	4.4.3
R.methodsS3	1.8.2	4.4.0
R.oo	1.27.1	4.4.3
R.utils	2.13.0	4.4.3
R6	2.6.1	4.4.3
RadialMR	1.2.3	4.4.2
ragg	1.3.3	4.4.2
randomForest	4.7-1.2	4.4.3
randomForestSRC	3.4.5	4.4.3
ranger	0.17.0	4.4.3
RANN	2.6.2	4.4.3
RApiSerialize	0.1.4	4.4.1
rappdirs	0.3.3	4.4.2
