gene_symbol,NES,padj_x,Time,model,logHR,HR,SE,z,pval,lower95,upper95,PH_chisq,PH_p,fit_ok,N,Events,padj_y,PH_FDR,PH_pass_nominal,entry_day
TNFRSF11B,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.866502400833667,2.3785769788852,0.231869896197387,3.73701983329492,0.0001862142404861,1.50990352066732,3.74701321444843,1.20600924555294,0.272123923251244,True,114,14,0.0076219278735689,0.99992764102675,True,4
CXCL12,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.887837526841365,2.42986943836565,0.287144575835317,3.09195297963963,0.00198844343255,1.38409223650466,4.26580348605513,8.51192786527772,0.0035282606801239,True,114,14,0.0242203113576805,0.262923271836158,False,4
MMP1,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.909375557369747,2.48277170074107,0.293609261519417,3.09723049151707,0.0019533792690594,1.39642022422936,4.41425525858631,0.28361627227077,0.59434072067957,True,114,14,0.0242122023238643,0.99992764102675,True,4
ABI3BP,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.00283404158218,2.72599647884945,0.235905128980083,4.25100567299175,2.12812776978843e-05,1.71681097402437,4.32840709614087,1.49581620132201,0.221316231571508,True,114,14,0.0027536450906832,0.99992764102675,True,4
LGALS1,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.02406237425811,2.7844834328605,0.308365216129559,3.32093997861243,0.0008971482873675,1.52147104035557,5.09595502130794,0.248815682095815,0.617910229302752,True,114,14,0.0163213596880248,0.99992764102675,True,4
VCAN,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.07599921323519,2.93292205139836,0.271832114626521,3.9583226386387,7.54779574082631e-05,1.72153796797965,4.99671335722782,2.66407748149342,0.1026373194088,True,114,14,0.0044049584624227,0.85066526601971,True,4
LAMC1,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.07828193946344,2.93962475680065,0.375165561488858,2.87414957594785,0.0040511705235875,1.40912782716269,6.13244131882267,5.33230481592087,0.0209336844673835,True,114,14,0.0334192085820609,0.529907136357188,False,4
WIPF1,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.08128943592309,2.94847897569154,0.328648292677259,3.29011122228755,0.0010014778879381,1.54828926080306,5.61492512425353,0.0566891695696462,0.811807509503762,True,114,14,0.0168907124495979,0.99992764102675,True,4
COL12A1,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.08370554549285,2.95561143689511,0.274411248040688,3.94920234950486,7.84120470012992e-05,1.72610837845778,5.06088671773331,2.87903678241143,0.089739687257572,True,114,14,0.0044049584624227,0.818017036176101,True,4
POSTN,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.08927391070652,2.97211526784044,0.244435328751969,4.45628672527864,8.3391482299166e-06,1.84078013799376,4.79876384094285,0.60925721732651,0.435067618073887,True,114,14,0.0020523789042348,0.99992764102675,True,4
ELN,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.09170425501547,2.97934731589088,0.295110292607978,3.69930931709549,0.0002161869942512,1.67079357811857,5.31275110519743,0.0650677669300092,0.798658342945965,True,114,14,0.0079783295497499,0.99992764102675,True,4
MATN2,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.10259263979471,3.01196484973457,0.276195241633562,3.99207688471895,6.54971285730193e-05,1.75287958627532,5.17544520859728,2.97085047965878,0.0847772738945964,True,114,14,0.0042300228870075,0.815019786764435,True,4
LOX,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.11385116159153,3.04606672981405,0.270579909089791,4.11653313558436,3.84614055807847e-05,1.79234404376859,5.1767530652045,0.489907565814899,0.483968540112176,True,114,14,0.00304159074746,0.99992764102675,True,4
HTRA1,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.12964669917498,3.09456299530868,0.336134501831284,3.36069844964021,0.0007774565663782,1.60133103714263,5.9802251438413,4.51579048331396,0.0335833640601769,True,114,14,0.0150761421653664,0.592949522202846,False,4
COLGALT1,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.14751027523351,3.15033965885837,0.240962851436164,4.7621874840633,1.91505633508896e-06,1.96448822244559,5.05202314413506,1.57129314151578,0.210019317569483,True,114,14,0.0020523789042348,0.99992764102675,True,4
IGFBP4,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.15903068258065,3.18684271633377,0.342548230752801,3.38355471880122,0.0007155394751194,1.62848231719664,6.23646102349621,0.547974296358384,0.459146578812005,True,114,14,0.0145353657825307,0.99992764102675,True,4
COL6A3,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.22114727347706,3.39107599429261,0.283466269525471,4.30791033981322,1.6480416080292e-05,1.94558673413797,5.91050308747228,0.993138219353966,0.318976573998778,True,114,14,0.0027536450906832,0.99992764102675,True,4
COL6A2,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.22332675253577,3.3984748332872,0.289815289431122,4.22105664244642,2.43159821155484e-05,1.92571865064504,5.99756936903415,1.33262263036733,0.248339184546826,True,114,14,0.0027536450906832,0.99992764102675,True,4
PLOD1,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.2244936432921,3.40244279679553,0.401644603157209,3.04869935676147,0.0022983436247449,1.54849685049042,7.47603521557009,0.35710935376036,0.550116025730653,True,114,14,0.0259585259560406,0.99992764102675,True,4
VEGFC,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.30650215865602,3.69323275048141,0.308136709116189,4.24000815223666,2.23511669127492e-05,2.01892523204594,6.75605412856521,1.80284216094305,0.179369270912412,True,114,14,0.0027536450906832,0.983105975651482,True,4
IGFBP2,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.39553548659494,4.03713582603623,0.349357103576325,3.9945816824934,6.48085759604324e-05,2.03563568460382,8.00657298412279,0.0063558487266821,0.936457107415346,True,114,14,0.0042300228870075,0.99992764102675,True,4
TNC,1.9378599732838,5.67225701777406e-06,D5,center_primary,1.46248362055326,4.31666718931069,0.350838171239899,4.1685419103192,3.06554399036245e-05,2.17027402964319,8.58583541468028,0.946685030301801,0.330564532129295,True,114,14,0.0027536450906832,0.99992764102675,True,4
